UMAP1,UMAP2,p_interface
4.5581083,9.598991,0
2.7270217,8.472032,0
4.8143277,9.383674,0
2.4814482,7.9286027,0
3.559892,7.495516,0
3.3876076,7.5880795,0
3.914775,8.856469,0
2.4630697,6.488195,0
2.7398882,5.382429,0
2.2609556,5.1359844,0
3.9965875,8.551631,0
4.0655713,8.565153,0
2.4273489,6.7532883,0
2.0700157,6.3052974,0
3.0233579,5.0154195,0
3.063352,5.039036,0
3.6863863,6.2445273,0
4.4216237,7.246524,0
4.545419,8.368508,0
2.7974787,6.4394917,0
2.5483813,5.9648438,0
3.82993,9.274364,0
3.7612913,9.311242,0
1.586739,7.2620573,1
1.444952,7.788009,0
1.5665605,7.701785,1
1.3790797,7.630136,1
1.449603,7.5574484,1
1.5401219,7.6456656,1
1.3829103,7.496784,0
1.2415432,7.33161,1
1.1452131,7.4302664,1
1.1398764,7.420797,1
1.1068424,7.2223625,0
1.019913,7.114868,0
0.8833659,5.7231965,0
0.9135702,5.624199,0
0.9856156,5.738167,0
1.1803182,5.8535337,0
3.5121894,7.924493,0
4.2315845,7.9075117,0
3.3084059,4.354882,0
3.430078,3.385856,0
3.7017148,3.1083636,0
3.6582234,3.3664927,0
3.655675,3.7692847,0
3.518554,4.0686064,0
4.6866455,4.8712554,0
4.8614187,5.2110367,0
2.0661187,8.2922325,0
2.1442668,8.178408,0
3.2102873,9.023007,0
4.4303155,6.7708874,0
3.25143,8.39072,0
1.3276106,5.367445,0
1.9921585,7.0749164,0
1.9944389,6.9786057,0
1.2566748,5.1284385,0
1.3335142,5.123254,0
2.865677,7.8415155,0
3.644072,8.424332,0
1.6331275,4.982986,0
1.771869,4.9727826,0
4.171663,5.314446,0
3.8139644,5.3527427,0
4.763763,7.306014,0
3.953263,4.840099,0
3.923746,5.1165776,0
2.6058474,5.1958494,0
2.6077616,5.3141828,0
3.480941,9.137268,0
1.6572403,7.219855,0
4.094564,10.2192,1
4.2673454,10.191042,0
4.4467373,10.20398,0
4.7701726,9.9750395,0
2.1480465,8.89311,0
2.0447104,8.776158,0
2.0416234,8.676775,0
2.0494115,8.508212,0
3.7706566,6.1079016,1
4.082122,5.0730066,1
4.2049837,4.9386873,0
3.5581522,1.4977167,0
3.3867335,0.99503,0
3.2989867,0.7138024,0
3.2281845,0.67907226,0
3.0891097,0.660365,0
3.0183127,0.766121,0
2.783825,0.88234776,1
1.8393593,1.3927962,0
1.7140688,1.6292812,0
1.5858124,1.7271177,1
1.688146,1.7034895,0
1.6398858,1.7970805,1
1.6445554,2.0124247,1
3.3880603,7.3310537,1
3.6190026,7.8541512,1
3.4854383,6.4879904,1
2.2654665,8.291258,1
2.3187585,8.358567,0
2.2607381,8.331553,0
2.533012,8.642802,1
4.967473,8.851496,0
4.073616,8.843035,0
2.4390678,7.277538,0
1.7156296,4.9042373,1
1.7072622,5.0036345,0
3.6504393,8.586154,0
2.2548442,7.059872,0
3.8063066,8.560005,0
3.645508,5.0358734,0
3.6244898,5.096461,0
4.566754,6.4291906,0
4.635458,8.6622715,1
3.4064312,6.984868,1
3.391311,8.155037,1
1.6862322,7.440776,1
3.2836528,9.278397,1
1.8578038,8.2999525,1
1.8104397,8.48451,1
1.8322322,8.545153,1
2.1543257,8.377719,0
1.8732362,8.499837,0
1.5867932,8.308792,0
2.2813983,8.47357,0
3.308034,9.347448,0
2.8938937,8.609531,1
2.1471558,7.913311,0
3.5989754,9.312482,0
4.4809623,6.264848,1
3.6784043,8.917326,1
2.7136707,7.88189,0
1.9245757,5.2400417,0
1.4071006,4.819539,1
3.459974,8.069925,1
3.5210202,8.2794485,0
0.92455,4.825894,1
1.1291658,5.967435,1
1.1864042,6.1379094,1
0.97005486,4.515873,1
3.945594,6.8353353,0
2.5197296,5.2378902,0
2.1063666,5.723041,0
3.8760853,9.557437,0
3.9600663,10.054597,0
3.9267027,10.082835,0
3.6372776,9.993806,0
2.0494554,8.596382,0
1.8695093,8.546506,0
1.5176462,7.4807434,0
2.9844785,8.919231,0
4.2518897,9.06621,0
2.6433582,7.4226665,0
2.5822954,6.2118635,0
4.933416,8.973018,0
4.708528,8.9956875,0
1.9866612,6.6780386,0
3.3361752,7.67816,0
1.5565141,7.3677955,0
1.3594294,7.529447,0
1.2825112,7.512756,1
1.5151823,8.0643215,0
2.0116005,8.585607,0
3.0080128,9.565716,0
3.019891,9.602271,0
2.0591607,8.506034,0
1.429587,8.261283,0
1.4342124,8.186596,0
1.4546082,8.392767,0
1.5597123,8.490582,0
1.6585486,8.571683,0
1.8788518,8.669378,0
3.9576912,9.91453,0
4.0327997,9.932242,0
4.0306654,9.71036,0
3.0350177,5.3529124,0
4.1651487,4.7978196,0
5.312251,4.4387717,0
5.098618,2.9330983,0
5.1316667,2.957464,0
4.8121123,3.154407,0
4.6086,3.3074584,0
4.3600397,3.426766,0
3.0180511,6.681556,0
4.8024006,8.739749,0
4.8669276,8.96144,0
4.6655254,6.0317836,0
4.819639,5.855023,1
4.3425045,5.7700486,0
4.70362,7.14635,1
2.1849368,7.3840938,1
1.8785425,7.425487,1
2.2405488,6.725378,1
2.4727767,6.7515745,1
3.5463443,4.708859,1
3.6465483,6.8419743,1
3.6722686,6.667195,1
3.0909226,4.997015,1
5.021762,7.7099857,0
4.8925033,7.712581,1
3.5445807,2.3575017,1
3.5601227,2.137099,1
3.47299,2.18673,1
3.5036452,2.2478087,1
3.540145,2.234271,1
3.6326485,2.20264,0
4.3652754,2.2461483,0
4.417231,2.1584759,0
4.5148144,2.2099001,0
4.547225,2.1650424,0
4.5584354,2.232437,0
4.6883645,2.2538352,0
4.7464905,2.246519,0
4.8602405,2.0942302,0
4.9120703,2.0215542,1
4.467528,2.0971107,1
3.9006448,2.059124,0
3.8649333,1.8112617,1
3.2593017,1.4087437,0
3.0091972,1.3356707,0
2.9899373,1.1554108,0
5.4019494,7.5167937,0
5.0914793,7.4502454,0
2.7534618,4.5232153,0
2.6286077,4.5285444,0
2.3175888,4.735103,0
2.2213337,4.6700554,0
2.049265,4.7023144,0
1.7890991,5.3706274,1
3.2493982,8.980371,0
2.7841554,7.9376893,0
1.8116536,6.385283,1
2.9084103,7.8508124,1
2.707602,8.455972,1
3.2289538,8.670555,1
2.9930859,5.406404,1
3.2376673,5.3924623,0
4.593704,8.0371895,0
3.3086271,6.082624,0
0.94264376,4.432821,0
3.8045437,7.957465,0
3.7099535,8.0684805,0
0.85407186,4.3911557,1
0.84933203,4.4057736,0
3.822837,8.141512,0
3.8300757,8.164752,0
1.5891378,4.954844,0
1.7094554,4.8524356,1
4.0305657,5.1613765,0
3.7173488,5.491541,0
4.671352,7.338204,0
4.0890036,4.776503,0
4.0611324,4.91098,0
2.8570256,5.1283956,0
2.692746,5.2789288,0
3.8997703,8.8699,0
2.0705867,6.7512517,0
4.380833,9.5914,0
4.3285613,9.867882,0
4.28665,9.961635,0
1.7351568,7.6394825,0
1.4385624,7.6643105,0
1.3773141,7.6538386,0
1.3662459,7.731971,0
1.3344219,7.767184,0
3.2395315,9.306586,0
3.199215,9.237067,1
3.4288259,9.427473,1
3.567961,9.381878,0
2.1860805,6.02655,0
2.757277,7.375037,1
4.1274304,8.412278,0
2.8574913,7.4605446,0
0.99230117,5.0225024,1
0.7428595,5.1314187,1
3.5543504,8.507849,0
1.2129717,5.7070804,0
3.5869226,8.519419,0
1.0738759,5.2301197,0
1.1107818,5.2258825,0
2.110276,5.4480443,0
2.3085845,5.4776683,0
4.8320665,8.837882,0
5.102729,9.020128,0
4.808583,9.281569,0
2.9141877,6.470386,0
4.188425,9.014063,0
2.342563,5.604667,0
2.346305,5.539738,0
2.5064557,7.522707,0
1.6190875,7.974569,0
1.4738966,8.055565,0
1.5475502,8.322928,0
1.6659144,8.502083,0
1.6903014,8.549836,0
1.6315559,8.545793,0
1.7780836,8.535732,0
3.1506648,9.567299,0
1.864216,8.147284,0
3.6044726,9.88342,0
4.2880936,9.663058,0
3.6032991,9.521599,0
1.3103616,5.1780696,0
1.3337003,4.932716,0
0.38488758,5.0976076,0
0.11331028,5.0316916,0
0.5845787,4.2882586,0
0.76950663,4.482659,0
1.0240735,5.9144216,0
0.89892995,5.3504276,0
3.4194438,8.532397,0
1.0566669,5.44184,0
1.2076433,5.5596714,0
1.674159,6.339405,0
1.841795,6.2242527,0
2.9019186,5.916524,0
4.489793,9.783408,0
4.6729875,9.984375,0
4.870077,9.910373,0
5.5711603,9.496311,0
2.135903,8.456232,0
2.1408398,8.675874,0
1.5285143,8.386888,0
1.4790002,8.41566,1
1.5197695,8.347866,1
2.3138328,8.258788,0
1.6336304,8.25003,0
2.1293828,8.158975,0
2.1123617,8.092569,0
2.163259,8.294008,0
4.8122764,8.235214,0
5.047125,9.529236,0
4.6543007,9.668501,0
2.4980698,5.906835,0
4.682038,8.561787,0
2.5959303,6.7196283,0
2.7857516,5.1229157,0
-6.8337483,-2.7676487,0
-9.671421,1.0765553,0
1.6522841,18.625185,0
16.00531,6.5117345,0
15.174185,6.3948617,0
1.5759577,19.062372,0
-9.711208,1.1042795,0
-7.0350084,-2.9670718,0
4.0698123,8.598082,0
1.892865,5.0075746,0
1.7006447,5.0305204,0
3.649896,8.513525,0
1.3405738,5.75465,0
1.6446618,5.5978603,0
1.8401084,6.0255055,0
2.4211023,7.74038,0
1.7480781,7.5830584,0
3.1769314,9.182408,0
3.1347647,9.070653,0
1.7216192,6.940859,0
1.6802548,6.704387,1
1.7899977,6.9006395,0
3.3392925,8.726424,1
3.237187,9.26065,0
2.6987958,7.8819695,1
2.8087983,8.799341,0
1.5678912,7.6410446,0
1.6908658,8.040936,0
1.622464,8.285626,0
1.6187176,8.335202,1
1.6370007,8.393797,1
1.7402201,8.371827,0
1.4210278,7.26752,0
1.3078723,6.832399,1
1.8501669,6.878098,0
1.8840932,5.809253,1
2.6677816,7.9769583,0
3.5888312,9.098932,0
3.899372,8.887983,1
1.9390055,5.2491274,1
4.655312,5.55925,0
5.181562,7.269098,1
4.2173157,4.994943,1
3.4772375,4.748072,0
3.8641837,7.023674,0
3.922181,7.08416,1
3.5984735,4.6562066,1
3.7298174,4.810902,0
3.816275,4.91401,0
3.8286335,5.2401676,0
2.0399966,7.5453954,1
1.9163922,7.799925,0
1.9230355,7.7760587,0
1.8466313,7.7542195,0
1.9527347,7.867812,0
3.0237303,8.931071,1
2.655325,7.674061,1
3.7602649,6.911132,1
4.204558,6.9282947,0
4.4030476,5.8379936,0
1.9860048,5.2650013,0
1.8785472,5.2837753,0
2.3043323,6.6273694,0
2.3277602,6.500334,0
2.0688303,5.5942006,0
2.786685,7.7861533,0
3.307569,8.020118,0
2.1358514,5.742987,0
2.1737134,5.60266,0
2.1364782,6.7688317,0
1.4415268,5.7898207,0
1.5477546,5.3443565,0
1.5727453,5.4815726,0
3.5651548,8.4706545,0
1.7190409,5.4445586,0
1.7938675,5.4373217,0
3.4882326,7.930917,0
3.3473258,8.975407,0
2.3511074,6.7583847,0
2.2330387,7.811422,0
3.4419389,4.953576,0
3.4746842,5.080559,0
2.8266883,5.008098,0
2.0206487,6.5172834,0
3.6167576,9.409781,0
3.8559575,9.845629,0
3.4614704,8.990002,0
2.056809,8.217313,0
1.5094457,7.371501,1
1.9863564,7.6516547,1
1.862974,8.401347,0
1.8801295,8.399507,1
1.8283002,8.423983,1
2.104959,8.518285,0
3.599289,9.621396,0
2.24896,8.593172,1
3.5380542,9.648048,0
3.4724925,9.632774,0
2.0971181,8.412685,0
3.9704127,5.3837643,1
4.8790693,5.6799316,0
4.1136165,6.8275466,0
4.8268476,5.469743,1
4.1044927,5.1080794,0
3.7637057,4.8157535,0
4.5339828,7.511463,0
2.3820434,4.9120035,0
2.145729,6.2730536,0
1.7946573,6.9702945,0
1.4397233,7.3473396,0
1.4283929,7.301307,0
3.7322605,9.860204,0
3.8511791,9.964119,0
3.7717466,9.950578,0
2.223516,8.680572,0
2.0288997,6.5883164,0
3.3399432,9.097456,0
1.7162113,6.8151007,0
1.7684478,6.9740024,0
1.7175692,7.145402,1
1.6719136,8.098612,1
1.4726453,7.8804545,0
3.3105333,9.565675,0
3.3927639,9.557965,0
1.6202712,7.693108,0
1.50283,7.595766,0
1.6499476,7.5666895,0
3.5308945,8.554653,1
3.6217523,8.5458,0
2.9445624,7.8365316,0
1.500327,5.05063,0
1.5191144,5.307721,1
1.4636643,5.8598013,1
2.0754378,7.0662136,0
3.396538,8.728996,0
1.7293813,6.1918645,0
3.728875,9.337446,0
1.6667535,6.248514,0
4.5987473,8.964082,0
4.8798175,9.084572,0
2.4465103,6.5422893,0
4.63953,8.639881,0
2.9941258,5.4871855,0
3.6744137,4.753733,0
3.2269819,4.7260265,0
3.2608259,4.6526823,0
3.5248988,5.495381,0
2.6905127,5.3488812,0
3.963954,8.459925,0
3.0075445,5.6397533,0
4.40046,7.827312,0
2.6281605,4.9593124,0
2.6919265,4.6386633,0
4.088488,7.322093,0
2.3921297,4.304594,0
2.3530827,4.3313255,0
4.9268575,7.755999,0
4.8615255,7.8357706,0
4.1256022,5.133838,0
3.596194,4.90491,0
1.8862548,6.0646,0
1.5939614,7.2914834,0
1.3949661,6.563717,0
4.0890646,9.834979,0
4.1010976,9.939183,0
2.569757,8.7709,0
5.3311033,9.570171,0
5.827021,8.984082,0
2.1242912,8.616832,0
2.598403,8.901708,0
1.9451791,8.554105,0
1.8476971,8.322936,0
2.61786,8.913363,0
3.262751,9.528609,0
1.9131469,8.306824,0
2.3060172,8.850452,0
3.180875,9.557505,0
1.7387029,7.221894,0
1.8537335,6.870269,0
3.6663296,9.00047,0
1.5990208,5.2498007,0
1.6573808,5.19942,0
3.5662372,8.478045,0
3.3551495,8.405709,0
1.8205404,5.188971,0
1.6348478,5.0666056,0
2.8590338,8.000171,0
1.5391452,5.302763,0
1.7287662,5.138,0
1.899859,5.514507,0
2.1539524,7.1690483,0
3.7379167,9.545555,0
4.6590085,9.986531,0
4.719729,10.104892,0
4.409861,10.190105,0
4.2465677,10.118443,0
1.7050961,7.5113463,0
1.87268,8.371088,0
1.9190532,8.447605,0
1.8602117,8.304381,0
1.9959519,8.455767,0
2.5512252,8.584428,0
2.4861853,8.082928,0
2.5445611,7.6330113,0
4.030925,8.712251,0
2.478432,6.6830025,0
3.8290293,9.308539,0
1.8987529,6.4517837,0
3.768884,8.94225,0
1.8051393,5.8193226,0
1.8045802,5.897636,0
3.3776033,9.073858,0
1.6970241,7.2708883,0
2.2219195,8.290941,0
1.6421794,7.362124,0
3.8937142,9.777998,0
3.913935,9.791793,0
3.719105,9.7566595,0
3.789643,9.640723,0
1.8967669,8.376318,0
1.9177638,8.198276,0
1.9730735,7.820116,1
2.6461844,8.804661,0
3.0897684,9.267923,0
2.7535288,8.411445,0
2.0435033,7.8907695,0
1.4912584,8.032328,1
1.4945751,8.140013,1
1.658903,8.269875,0
2.03725,8.828415,0
1.9692786,8.412774,0
3.962748,9.980452,0
3.731427,9.792304,0
2.8205383,7.9811954,0
2.1337519,7.1441636,0
2.0689392,5.0860424,0
2.052249,4.955779,0
2.371198,4.6382003,0
4.3122864,8.068413,0
4.3384585,8.098947,0
2.3762164,4.5786796,0
2.402073,4.6899676,0
4.3857927,8.438074,0
2.9981694,6.5677853,0
2.9914575,6.5508113,0
3.9450884,7.1898017,1
3.6554213,5.0851316,0
3.7125673,4.922465,1
4.559196,5.3834023,0
4.3186684,5.3921337,1
3.5813026,6.9410315,0
3.583385,5.6384864,0
2.6730688,5.7362766,0
2.6266563,6.463727,0
2.5828197,6.4331417,0
2.7481503,7.6640573,0
1.8132987,6.789325,0
2.5110638,7.9659553,0
1.6055549,7.5758314,0
1.5122374,8.10772,1
1.4464457,8.118273,1
1.623508,8.171893,1
1.8210377,7.569294,0
1.9612304,7.221472,1
4.4738374,8.485864,0
2.4725776,8.775716,0
2.425554,8.734584,1
2.2332032,8.980143,0
2.1773555,9.089689,0
2.0806162,8.977503,0
2.1183395,9.077755,0
2.0553782,8.867781,0
1.9859124,8.685123,0
1.8989704,8.581409,0
3.3682616,9.180308,0
1.8205434,6.9842825,0
3.4468672,7.7372537,0
4.4358664,8.340673,0
3.1414413,4.444482,0
3.1198316,4.018988,0
4.917168,7.2347827,0
3.0791557,2.1067226,0
2.1168714,1.5859017,0
1.9344212,1.4637656,0
1.7771337,1.4705086,0
1.7238253,1.3669705,0
1.7376466,1.3830483,0
1.7611327,1.348186,0
1.7530993,1.3314904,0
1.8028071,1.3334156,0
1.9632796,1.3181036,0
2.431636,1.1701332,0
3.7376344,1.1943977,0
3.927951,1.320785,0
5.6500654,6.7347536,0
5.249449,5.6430674,0
5.4685907,7.2684464,0
4.3683367,4.732135,0
4.3509274,4.8001347,0
4.0288434,7.888638,0
2.1010146,4.5937047,0
1.9196137,4.5387664,0
3.289221,7.0596824,0
1.7337235,5.3214393,0
1.6327604,4.370266,0
1.7116611,4.3558764,0
4.018345,8.200415,0
4.441214,7.899287,0
1.9449538,4.7207217,0
2.4834914,4.951976,0
4.8201094,7.667179,0
4.6802864,7.8014207,0
1.8085215,4.4454613,0
1.9813519,4.387286,0
3.952391,8.232207,0
1.9428805,4.4004035,0
2.0343146,4.4671164,0
4.4449406,7.828091,0
2.521027,5.5809703,0
2.3853035,5.780664,0
4.4113126,9.213025,0
1.8235612,5.84396,0
4.4604816,9.398929,0
4.219234,9.4344225,0
1.5874557,6.8692703,0
1.895609,4.9226694,0
2.285931,4.4884224,0
3.882198,3.6444879,0
4.0815315,3.6582024,0
3.313878,4.404314,0
4.6407156,6.0494337,0
4.413135,6.61315,0
4.594465,9.572134,0
4.586319,9.755084,0
2.348765,8.52594,0
3.2841833,9.224316,0
2.932832,7.6846046,0
3.9180214,9.144167,0
2.1168528,5.9409113,0
2.153157,6.2243085,0
3.2550528,8.456591,0
1.8910767,6.3572855,0
1.9224904,6.1350813,0
1.8699827,6.0077233,0
1.9168919,6.1264014,0
3.6781676,8.838054,0
2.998326,6.9899535,0
4.087833,6.7378697,0
4.415586,8.782884,0
4.12085,8.684484,0
2.1391304,6.04254,1
2.2326186,4.658163,0
2.3863485,4.666513,0
2.084283,6.8833966,0
3.466027,9.158891,0
2.9823391,9.035929,1
2.8160708,8.950814,0
2.9620523,8.983414,0
2.1172738,7.7207355,0
2.1020856,7.678778,0
2.1077967,7.7205358,1
2.0990918,7.696956,1
2.1269982,7.5235505,0
2.5097902,7.996388,0
3.863946,8.494581,0
4.379757,8.384426,0
2.9056072,5.821987,0
4.665415,8.457189,0
4.7109046,8.458811,0
2.9446425,5.5500393,0
4.0405097,7.1544085,0
3.9887843,6.760481,0
3.6519299,5.0653195,0
5.155434,6.993515,0
5.197711,5.2293186,0
5.1528506,5.4579344,0
2.0657709,8.57661,0
2.1601603,8.605985,0
2.0810921,8.626,0
2.2864146,8.752335,0
2.1120067,8.114491,0
2.7936826,8.716971,0
2.4388843,8.166081,0
2.92841,8.702657,0
2.6636639,7.6704884,0
2.2596097,7.2591014,0
2.1440537,7.135265,0
2.452302,5.4072614,0
2.2769108,5.4051733,0
1.9540601,5.9912705,0
3.3716083,8.839403,0
1.8803219,6.310623,0
1.7612251,5.4359303,0
3.9881778,8.820317,0
4.09943,8.79717,0
1.876781,5.2272124,0
3.2965977,6.823124,0
5.2353683,8.185818,0
-6.9823756,-2.9148402,0
-9.355749,0.8859722,0
1.6214794,18.633007,0
16.064459,6.549456,0
15.257903,6.474518,0
1.9244677,19.093992,0
-9.559136,1.0072116,0
-6.802918,-2.7373266,0
7.117651,9.51463,0
7.2500305,9.601326,0
7.2541075,9.641381,0
7.3191576,9.687432,0
7.311377,9.6748295,0
7.30845,9.637298,0
7.340713,9.591988,0
7.3013067,9.427441,0
7.2728715,9.270373,0
7.1719875,8.719642,0
6.9854875,8.174622,0
6.837566,7.931771,0
3.127314,4.8415613,0
4.6871,5.4582305,0
2.9373016,4.417984,0
4.787764,6.773129,0
4.0188837,7.332136,0
4.296447,4.9807925,0
2.8444574,4.9265857,0
4.050609,6.508072,0
2.9508646,5.327486,0
4.2926927,8.132938,0
